Sample.ID,Molecule.List.Name,Molecule.Name,Experiment,Phase,Treatment,Bioreplicate,Area.per.cell
20230120_ER4_124_06_105,Vitamins,B7,Deplete,Particulate,+,C,9.69194E-06
20230120_ER4_124_01_87,Vitamins,Niacin,Deplete,Particulate,-,A,0.00783382
20230120_ER4_124_01_88,Vitamins,Niacin,Deplete,Particulate,-,A,0.008593203
20230120_ER4_124_02_90,Vitamins,Niacin,Deplete,Particulate,-,B,0.009911728
20230120_ER4_124_02_91,Vitamins,Niacin,Deplete,Particulate,-,B,0.008414362
20230120_ER4_124_03_93,Vitamins,Niacin,Deplete,Particulate,-,C,0.008356739
20230120_ER4_124_03_94,Vitamins,Niacin,Deplete,Particulate,-,C,0.0092011
20230120_ER4_124_04_96,Vitamins,Niacin,Deplete,Particulate,+,A,0.008372535
20230120_ER4_124_04_97,Vitamins,Niacin,Deplete,Particulate,+,A,0.00972922
20230120_ER4_124_05_100,Vitamins,Niacin,Deplete,Particulate,+,B,0.008552683
20230120_ER4_124_05_99,Vitamins,Niacin,Deplete,Particulate,+,B,0.007362418
20230120_ER4_124_06_104,Vitamins,Niacin,Deplete,Particulate,+,C,0.005749676
20230120_ER4_124_06_105,Vitamins,Niacin,Deplete,Particulate,+,C,0.006076442
20230120_ER4_124_01_87,Vitamins,Niacinamide,Deplete,Particulate,-,A,0.000208635
20230120_ER4_124_01_88,Vitamins,Niacinamide,Deplete,Particulate,-,A,0.000272134
20230120_ER4_124_02_90,Vitamins,Niacinamide,Deplete,Particulate,-,B,0.000299787
20230120_ER4_124_02_91,Vitamins,Niacinamide,Deplete,Particulate,-,B,0.000201327
20230120_ER4_124_03_93,Vitamins,Niacinamide,Deplete,Particulate,-,C,0.000347819
20230120_ER4_124_03_94,Vitamins,Niacinamide,Deplete,Particulate,-,C,0.000362308
20230120_ER4_124_04_96,Vitamins,Niacinamide,Deplete,Particulate,+,A,0.000274133
20230120_ER4_124_04_97,Vitamins,Niacinamide,Deplete,Particulate,+,A,0.000240279
20230120_ER4_124_05_100,Vitamins,Niacinamide,Deplete,Particulate,+,B,0.000245561
20230120_ER4_124_05_99,Vitamins,Niacinamide,Deplete,Particulate,+,B,0.000142307
20230120_ER4_124_06_104,Vitamins,Niacinamide,Deplete,Particulate,+,C,0.000148592
20230120_ER4_124_06_105,Vitamins,Niacinamide,Deplete,Particulate,+,C,0.000119071
20230120_ER4_124_01_87,Osmolytes,Homarine,Deplete,Particulate,-,A,0.000257418
20230120_ER4_124_01_88,Osmolytes,Homarine,Deplete,Particulate,-,A,0.000271249
20230120_ER4_124_02_90,Osmolytes,Homarine,Deplete,Particulate,-,B,0.000197125
20230120_ER4_124_02_91,Osmolytes,Homarine,Deplete,Particulate,-,B,0.000187717
20230120_ER4_124_03_93,Osmolytes,Homarine,Deplete,Particulate,-,C,0.000161022
20230120_ER4_124_03_94,Osmolytes,Homarine,Deplete,Particulate,-,C,0.000168504
20230120_ER4_124_04_96,Osmolytes,Homarine,Deplete,Particulate,+,A,0.000111592
20230120_ER4_124_04_97,Osmolytes,Homarine,Deplete,Particulate,+,A,0.000132239
20230120_ER4_124_05_100,Osmolytes,Homarine,Deplete,Particulate,+,B,0.000121988
20230120_ER4_124_05_99,Osmolytes,Homarine,Deplete,Particulate,+,B,0.000115515
20230120_ER4_124_06_104,Osmolytes,Homarine,Deplete,Particulate,+,C,0.000108447
20230120_ER4_124_06_105,Osmolytes,Homarine,Deplete,Particulate,+,C,0.000106483
