"","Replicate.Name","Total.Area","Molecule.Name","BMIS_used","Final_Peak","Temperature.Treatment","B12.Treatment","cells_on_column","mgC_cell","culture_replicate_no","mgC_loaded","Below_LOD","Below_LOQ"
"HET_df.4","15",8144,"HET","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"HET_df.5","15",8571,"HET","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"HET_df.6","15",4354,"HET","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"HET_df.7","16",2382,"HET","none",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"HET_df.8","16",8739,"HET","none",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"HET_df.9","16",3552,"HET","none",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"HET_df.10","24",5646,"HET","none",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE
"HET_df.11","24",7989,"HET","none",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE
"HET_df.12","24",3901,"HET","none",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE
"HET_df.13","27",5138,"HET","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"HET_df.14","27",3926,"HET","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"HET_df.15","27",2377,"HET","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"HET_df.16","28",9110,"HET","none",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE
"HET_df.17","28",8997,"HET","none",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE
"HET_df.18","28",9047,"HET","none",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE
"Methionine_df.1","06",59710,"Methionine","B1",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
"Methionine_df.2","06",93282,"Methionine","B1",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
"Methionine_df.3","06",94498,"Methionine","B1",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
"Methionine_df.4","15",36598,"Methionine","B1",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"Methionine_df.5","15",16576,"Methionine","B1",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"Methionine_df.6","15",33251,"Methionine","B1",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"Methionine_df.7","16",1010803,"Methionine","B1",28.0420296288076,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"Methionine_df.8","16",28738,"Methionine","B1",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"Methionine_df.9","16",64972,"Methionine","B1",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"Methionine_df.10","24",57802,"Methionine","B1",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE
"Methionine_df.11","24",839163,"Methionine","B1",20.829105440826,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"Methionine_df.12","24",21029,"Methionine","B1",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE
"Methionine_df.13","27",38279,"Methionine","B1",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"Methionine_df.14","27",14299,"Methionine","B1",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"Methionine_df.15","27",15848,"Methionine","B1",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"Methionine_df.16","28",31701,"Methionine","B1",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE
"Methionine_df.17","28",22814,"Methionine","B1",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE
"Methionine_df.18","28",39479,"Methionine","B1",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE
"FAMP_df.1","06",4173,"FAMP","none",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
"FAMP_df.2","06",8966,"FAMP","none",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
"FAMP_df.3","06",24894,"FAMP","none",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
"FAMP_df.4","15",31125,"FAMP","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"FAMP_df.5","15",14547,"FAMP","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"FAMP_df.6","15",14337,"FAMP","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"FAMP_df.7","16",34137,"FAMP","none",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"FAMP_df.8","16",31174,"FAMP","none",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"FAMP_df.9","16",38476,"FAMP","none",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"FAMP_df.10","24",9001,"FAMP","none",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE
"FAMP_df.11","24",16630,"FAMP","none",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE
"FAMP_df.12","24",33574,"FAMP","none",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE
"FAMP_df.13","27",8984,"FAMP","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"FAMP_df.14","27",48971,"FAMP","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"FAMP_df.15","27",17451,"FAMP","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"FAMP_df.16","28",18684,"FAMP","none",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE
"FAMP_df.17","28",142463,"FAMP","none",142463,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"FAMP_df.18","28",34936,"FAMP","none",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE
"cHET_df.1","06",822759,"cHET","none",822759,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"cHET_df.2","06",794362,"cHET","none",794362,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"cHET_df.3","06",789599,"cHET","none",789599,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"cHET_df.4","15",1131889,"cHET","none",1131889,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
