"","Replicate.Name","Total.Area","Molecule.Name","BMIS_used","Final_Peak","Temperature.Treatment","B12.Treatment","cells_on_column","mgC_cell","culture_replicate_no","mgC_loaded","Below_LOD","Below_LOQ","normtype","normunits","est_fmol_on_column","fmol_cell","fmol_mgC","peak_cell"
"158","27",2377,"HET","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE,"none","none",0.0968836567158277,2.3345459449597e-06,230.597491575352,0
"168","28",9110,"HET","none",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE,"none","none",0.371312626285709,7.83359971066897e-06,725.219151676955,0
"178","28",8997,"HET","none",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE,"none","none",0.366706882403131,7.73643211820952e-06,716.223568346604,0
"188","28",9047,"HET","none",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE,"none","none",0.368744822174183,7.77942662814733e-06,720.203914952954,0
"130","06",289933,"HMP","none",289933,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,TRUE,"none","none",148.048328178829,0.00372917703221231,318001.946994714,7.30309823677582
"29","06",315855,"HMP","none",315855,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,TRUE,"none","none",161.284864768494,0.00406259105210314,346433.503492239,7.95604534005038
"39","06",174482,"HMP","none",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE,"none","none",89.0956476058206,0.00224422286160757,191373.923339294,0
"49","15",114295,"HMP","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE,"none","none",58.3623929293982,0.00146271661477189,138960.927102335,0
"59","15",183201,"HMP","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE,"none","none",93.5478257759192,0.00234455703699046,222737.484632528,0
"69","15",210465,"HMP","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE,"none","none",107.4696270868,0.00269347436307769,255885.310141239,0
"79","16",165627,"HMP","none",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE,"none","none",84.5740238305914,0.00214111452735674,158732.765505956,0
"89","16",263788,"HMP","none",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE,"none","none",134.697921221927,0.00341007395498548,252807.807587442,0
"99","16",206996,"HMP","none",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE,"none","none",105.698253526521,0.00267590515257015,198379.778228616,0
"109","24",289257,"HMP","none",289257,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,TRUE,"none","none",147.703142670974,0.0036742075291287,313314.476044709,7.19544776119403
"1113","24",214244,"HMP","none",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE,"none","none",109.399295776421,0.00272137551682638,232062.652263291,0
"1210","24",319483,"HMP","none",319483,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,TRUE,"none","none",163.137428411242,0.00405814498535429,346054.369471411,7.94733830845771
"139","27",261045,"HMP","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE,"none","none",133.297264641977,0.00321198228052957,317267.286374773,0
"149","27",240479,"HMP","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE,"none","none",122.795659383777,0.00295893155141631,292271.906223521,0
"159","27",91933,"HMP","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE,"none","none",46.9436971799148,0.00113117342602204,111732.971090394,0
"169","28",219254,"HMP","none",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE,"none","none",111.957549318363,0.00236197361431145,218666.840803897,0
"179","28",291566,"HMP","none",291566,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,TRUE,"none","none",148.882186069845,0.00314097438965918,290785.190262567,6.15118143459916
"189","28",304775,"HMP","none",304775,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,TRUE,"none","none",155.627090468151,0.00328327195080488,303958.816742261,6.4298523206751
"140","06",13591,"SAH","none",13591,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE,"BMIS_cell","fmol_cell",160.941512811556,0.00405394238820042,345695.997083664,0.342342569269521
"210","06",13129,"SAH","none",13129,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE,"BMIS_cell","fmol_cell",155.470614502459,0.00391613638545238,333944.724134458,0.330705289672544
"310","06",12780,"SAH","none",12780,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE,"BMIS_cell","fmol_cell",151.337836342557,0.00381203617991327,325067.680283219,0.32191435768262
"410","15",20995,"SAH","none",20995,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE,"BMIS_cell","fmol_cell",248.617987011892,0.00623102724340582,591959.723297881,0.526190476190476
"510","15",16805,"SAH","none",16805,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE,"BMIS_cell","fmol_cell",199.0009655506,0.00498749287094236,473821.536081014,0.421177944862155
"610","15",18927,"SAH","none",18927,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE,"BMIS_cell","fmol_cell",224.129204104505,0.0056172732858272,533651.902017575,0.474360902255639
